Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Guess;Distance;Hit
automotive_bitcount;ntbl_bitcnt;1;7;9;160;443116880;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;2;7;9;78;443562834;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;3;7;9;52;451708556;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;4;7;9;38;444094714;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;5;7;9;30;440601090;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;6;7;9;26;459854278;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;7;7;9;22;455107466;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;8;7;9;18;426360654;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;9;7;9;16;426987248;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;10;7;9;14;415613842;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;11;7;9;14;462863842;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;12;7;9;4;673449048;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;13;7;9;1650;393080325;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;14;7;9;854;416948847;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;15;7;9;572;422267846;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;16;7;9;430;424939115;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;17;7;9;344;425951292;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;18;7;9;344;425951292;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;19;7;9;286;425633923;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_bitcount;ntbl_bitcnt;20;7;9;244;424128242;"5;5_5.ce;0;16;16.le;5.ph;0_16.ce";"5;0;16;5_5.ce;5.ph;16.le;0_16.ce";3;0,8571
automotive_qsort1;main;1;9;12;0;226;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;2;9;12;0;423;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;3;9;12;0;303;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;4;9;12;0;263;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;5;9;12;0;375;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;6;9;12;0;1300;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;7;9;12;0;325;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;8;9;12;0;461;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;9;9;12;0;256;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;10;9;12;0;294;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;11;9;12;0;770;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;12;9;12;0;274;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;13;9;12;0;309;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;14;9;12;0;511;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;15;9;12;0;705;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;16;9;12;0;2300;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;17;9;12;0;316;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;18;9;12;0;236;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;19;9;12;0;1300;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_qsort1;main;20;9;12;0;200;"12;12_12.ce;0;12.ph;21;21.le;7;4;7_21.ce";"12;12_12.ce;12.ph;21.le;7;7_21.ce;0;4;21";9;0,7500
automotive_susan_c;getint;1;11;14;0;7038;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;2;11;14;0;6219;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;3;11;14;0;1953;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;4;11;14;0;24660;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;5;11;14;0;2826;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;6;11;14;0;1926;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;7;11;14;0;8694;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;8;11;14;0;31644;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;9;11;14;0;1450;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;10;11;14;0;20925;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;11;11;14;0;3690;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;12;11;14;0;1090;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;13;11;14;0;15192;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;14;11;14;0;4968;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;15;11;14;0;3726;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;16;11;14;0;6876;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;17;11;14;0;5121;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;18;11;14;0;7695;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;19;11;14;0;1520;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;getint;20;11;14;0;3150;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;0;4;9;9_12.ce;6";16;0,7091
automotive_susan_c;main;1;9;12;0;782;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;2;9;12;0;691;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;3;9;12;0;217;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;4;9;12;0;2740;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;5;9;12;0;314;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;6;9;12;0;214;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;7;9;12;0;966;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;8;9;12;0;3516;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;9;9;12;0;145;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;10;9;12;0;2325;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;11;9;12;0;369;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;12;9;12;0;109;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;13;9;12;0;1688;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;14;9;12;0;552;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;15;9;12;0;414;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;16;9;12;0;764;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;17;9;12;0;569;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;18;9;12;0;855;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;19;9;12;0;152;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;20;9;12;0;350;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_e;getint;1;11;14;0;3366;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;2;11;14;0;2736;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;3;11;14;0;729;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;4;11;14;0;11025;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;5;11;14;0;1314;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;6;11;14;0;603;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;7;11;14;0;4266;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;8;11;14;0;13419;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;9;11;14;0;460;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;10;11;14;0;9729;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;11;11;14;0;1640;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;12;11;14;0;240;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;13;11;14;0;4743;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;14;11;14;0;2178;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;15;11;14;0;1719;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;16;11;14;0;2862;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;17;11;14;0;1809;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;18;11;14;0;3573;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;19;11;14;0;430;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;getint;20;11;14;0;1071;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"12;2;14;14_14.ce;14.ph;23;4;9;9_12.ce;6;0";18;0,6727
automotive_susan_e;main;1;9;12;0;374;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;0;4";11;0,6944
automotive_susan_e;main;2;9;12;0;304;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;0;4";11;0,6944
